PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
HARLEM RIVER PARK,MANHATTAN    ,4,53.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,4,53.30,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROY WILKINS RECREATION CENTER,QUEENS       ,4,53.24,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,4,52.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROOKLYN BOTANIC GARDEN,BROOKLYN     ,4,47.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MEREDITH WOODS,STATEN ISLAND,4,47.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
QUEENS FARM PARK,QUEENS       ,4,47.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER PARK,MANHATTAN    ,4,45.88,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3
CROCHERON PARK,QUEENS       ,4,45.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MACOMBS DAM PARK,BRONX        ,4,44.17,ONE ACRE OR LARGER,1,0,1,0,0,0,0,2
MANHATTAN BEACH PARK,BROOKLYN     ,4,42.94,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UDALL'S PARK PRESERVE,QUEENS       ,4,42.77,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
FAIRVIEW PARK,STATEN ISLAND,4,42.60,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYSWATER PARK,QUEENS       ,4,40.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DEERE PARK,STATEN ISLAND,4,39.78,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PARADE GROUND,BROOKLYN     ,4,39.50,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLAREMONT PARK,BRONX        ,4,38.54,ONE ACRE OR LARGER,0,0,3,0,0,0,0,3
BROAD CHANNEL WETLANDS,QUEENS       ,4,37.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND BOAT BASIN,BROOKLYN     ,4,36.81,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUNKER PONDS PARK,STATEN ISLAND,4,36.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SETON FALLS PARK,BRONX        ,4,35.77,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MCCARREN PARK,BROOKLYN     ,4,35.71,ONE ACRE OR LARGER,0,1,1,0,0,1,0,3
ST. MARY'S PARK BRONX,BRONX        ,4,35.31,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3
SHOOTERS ISLAND,STATEN ISLAND,4,34.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH BROTHER ISLAND,BRONX        ,4,30.40,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORT GREENE PARK,BROOKLYN     ,4,30.17,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3
BATTERY PARK CITY,MANHATTAN    ,4,29.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MORNINGSIDE PARK,MANHATTAN    ,4,29.89,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MACNEIL PARK,QUEENS       ,4,28.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY ATHLETIC PLAYGROUND,QUEENS       ,4,27.53,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VERNAM BARBADOES PENINSULA,QUEENS       ,4,27.48,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLLEGE POINT FIELDS,QUEENS       ,4,26.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KAISER PARK,BROOKLYN     ,4,26.26,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUNSET PARK,BROOKLYN     ,4,24.50,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2
OWL'S HEAD PARK,BROOKLYN     ,4,24.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRINGFIELD PARK,QUEENS       ,4,23.54,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RECREATIONAL AREA,MANHATTAN    ,4,23.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KING FISHER PARK,STATEN ISLAND,4,23.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SIEDENBURG PARK,STATEN ISLAND,4,22.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. NICHOLAS PARK,MANHATTAN    ,4,22.74,ONE ACRE OR LARGER,0,0,2,0,0,1,0,3
SOUTH BROTHER ISLAND,BRONX        ,4,22.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOCUST POINT MARINA,BRONX        ,4,22.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATTERY PARK,MANHATTAN    ,4,21.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROOKLYN BRIDGE PARK,BROOKLYN     ,4,21.19,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3
ASSER LEVY PARK,BROOKLYN     ,4,21.04,ONE ACRE OR LARGER,0,0,0,0,,,,0
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,4,20.91,ONE ACRE OR LARGER,0,0,0,0,,,,0
WAVE HILL,BRONX        ,4,20.87,ONE ACRE OR LARGER,0,0,0,0,,,,0
QUEENSBRIDGE PARK,QUEENS       ,4,20.34,ONE ACRE OR LARGER,0,0,0,0,,,,0
MARCUS GARVEY PARK,MANHATTAN    ,4,20.17,ONE ACRE OR LARGER,0,1,1,0,,,,2
ISHAM PARK,MANHATTAN    ,4,20.13,ONE ACRE OR LARGER,0,0,0,0,,,,0
WILLIAMSBRIDGE OVAL,BRONX        ,4,19.75,ONE ACRE OR LARGER,0,0,3,1,,,,4
BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,4,19.56,ONE ACRE OR LARGER,0,0,0,0,,,,0
BROAD CHANNEL AMERICAN PARK,QUEENS       ,4,18.77,ONE ACRE OR LARGER,0,0,0,0,,,,0
THEODORE ROOSEVELT PARK,MANHATTAN    ,4,17.57,ONE ACRE OR LARGER,0,0,0,0,,,,0
BENSONHURST PARK,BROOKLYN     ,4,17.50,ONE ACRE OR LARGER,0,0,1,0,,,,1
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,4,17.14,ONE ACRE OR LARGER,0,0,0,0,,1,,1
JOHN GOLDEN PARK,QUEENS       ,4,17.00,ONE ACRE OR LARGER,0,0,0,0,,,,0
BAYVIEW TERRACE PARK,STATEN ISLAND,4,16.94,ONE ACRE OR LARGER,0,0,0,0,,,,0
JONES WOODS PARK,STATEN ISLAND,4,16.93,ONE ACRE OR LARGER,0,0,0,0,,,,0
