,PARK,BOROUGH,QUARTER,CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,CRIME OCCURED,VICIOUS CRIMES
2385,FORT TRYON PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2386,RIVERSIDE PARK SOUTH,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2387,EASTERN PARKWAY,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2388,FOUR SPARROW MARSH,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2389,FORT TOTTEN PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2390,ASTORIA PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,0.0
2391,LAURELTON PARKWAY,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2392,RED HOOK RECREATION AREA,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2393,SHORE PARK AND PARKWAY,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2394,SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2395,JUNIPER VALLEY PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2396,LITTLE BAY PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2397,POWELL'S COVE PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2398,HENRY HUDSON PARKWAY,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2399,HARLEM RIVER PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4,1,0.0
2400,DUBOS POINT WILDLIFE SANCTUARY,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2401,ROY WILKINS RECREATION CENTER,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2402,REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2403,BROOKLYN BOTANIC GARDEN,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1,0.0
2404,MEREDITH WOODS,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2405,QUEENS FARM PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2406,EAST RIVER PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,0.0
2407,CROCHERON PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,0.0
2408,MACOMBS DAM PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5,1,0.0
2409,MANHATTAN BEACH PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3,1,0.0
2410,UDALL'S PARK PRESERVE,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2411,FAIRVIEW PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2412,BAYSWATER PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2413,DEERE PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2414,PARADE GROUND,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
2415,CLAREMONT PARK,BRONX,3,ONE ACRE OR LARGER,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4,1,1.0
2416,BROAD CHANNEL WETLANDS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2417,CONEY ISLAND BOAT BASIN,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2418,BUNKER PONDS PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2419,SETON FALLS PARK,BRONX,3,ONE ACRE OR LARGER,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1,1.0
2420,MCCARREN PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6,1,0.0
2421,ST. MARY'S PARK BRONX,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5,1,0.0
2422,SHOOTERS ISLAND,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2423,NORTH BROTHER ISLAND,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2424,FORT GREENE PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2425,BATTERY PARK CITY,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2426,MORNINGSIDE PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4,1,0.0
2427,MACNEIL PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2428,ALLEY ATHLETIC PLAYGROUND,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2429,VERNAM BARBADOES PENINSULA,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2430,COLLEGE POINT FIELDS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2431,KAISER PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
2432,SUNSET PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,1.0,3.0,0.0,6,1,0.0
2433,OWL'S HEAD PARK,BROOKLYN,3,ONE ACRE OR LARGER,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,1.0
2434,SPRINGFIELD PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2435,RECREATIONAL AREA,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2436,KING FISHER PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2437,SIEDENBURG PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2438,ST. NICHOLAS PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5,1,0.0
2439,SOUTH BROTHER ISLAND,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2440,LOCUST POINT MARINA,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2441,BATTERY PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,0.0
2442,BROOKLYN BRIDGE PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,1,0.0
2443,ASSER LEVY PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2444,SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2445,WAVE HILL,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2446,QUEENSBRIDGE PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2447,MARCUS GARVEY PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,1,0.0
2448,ISHAM PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2449,WILLIAMSBRIDGE OVAL,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
2450,BRANT POINT WILDLIFE SANCTUARY,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2451,BROAD CHANNEL AMERICAN PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2452,THEODORE ROOSEVELT PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2453,BENSONHURST PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2454,LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,1.0,2.0,0.0,0.0,3.0,0.0,6,1,1.0
2455,JOHN GOLDEN PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2456,BAYVIEW TERRACE PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2457,JONES WOODS PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2458,FRANCIS LEWIS PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2459,LEIF ERICSON PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1,0.0
2460,EIBS POND PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2461,RAILROAD PARK QUEENS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2462,BREUKELEN BALLFIELDS,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2463,FRANZ SIGEL PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,1,0.0
2464,THOMAS JEFFERSON PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2465,ALICE AUSTEN PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2466,MILL POND PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
2467,SHERMAN CREEK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2468,HARRIS PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2469,GOODHUE,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2470,MULLALY PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,0.0
2471,TREMONT PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2472,CARL SCHURZ PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2473,GRAND ARMY PLAZA BROOKLYN,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2474,VON BRIESEN PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2475,MOTOR PARKWAY,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2476,UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2477,BEACH 17 PLAYGROUND,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2478,TUDOR PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
2479,AQUEDUCT WALK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2480,FATHER MACRIS PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2481,STARLIGHT PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2482,JACKIE ROBINSON PARK MANHATTAN,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1,0.0
2483,BROOKLYN MUSEUM,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2484,BEACH CHANNEL PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2485,GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2486,BOWNE PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2487,SETON PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2488,RUFUS KING PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1,0.0
2489,FRANK GOLDEN PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2490,ST. JAMES PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1,0.0
2491,RICHMOND TERRACE WETLANDS,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2492,BARRETTO POINT PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
2493,ST. ALBANS PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2494,GEMINI FIELDS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2495,GIVANS CREEK WOODS,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2496,BETSY HEAD PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2497,TOMPKINS SQUARE PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,4.0,0.0,4.0,0.0,9,1,0.0
2498,CPL. THOMPSON PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,0.0
2499,COMMODORE BARRY PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2500,CADMAN PLAZA PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2501,BROADWAY MALLS,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2502,STEEPLECHASE PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2503,HUNTER'S POINT SOUTH PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2504,UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2505,HYBRID OAK WOODS PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2506,WASHINGTON SQUARE PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,1,0.0
2507,BRYANT PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,5.0,0.0,6,1,0.0
2508,ROCKAWAY FREEWAY,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2509,BICENTENNIAL VETERANS MEMORIAL PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2510,SUNSET COVE PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2511,ST. JOHN'S RECREATION CENTER,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5,1,0.0
2512,LINDEN PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2513,HAFFEN PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
2514,ALLISON POND PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2515,GRANITEVILLE SWAMP PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2516,TOTTENVILLE SHORE PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2517,CAPTAIN TILLY PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
2518,HARVEY PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2519,MSGR. MCGOLRICK PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2520,BUSHWICK INLET PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2521,HENRY HUDSON PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2522,FRANK PRINCIPE PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2523,CASTLE HILL PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2524,ROCHDALE PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2525,ABE STARK SKATING RINK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2526,CITY HALL PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2527,EAST RIVER WATERFRONT ESPLANADE,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2528,CROTONA PARKWAY MALLS,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2529,CONEY ISLAND CREEK PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2530,MILL ROCK PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2531,EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2532,JOHN J CARTY PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2533,COFFEY PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
2534,BARRETT PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2535,RAINEY PARK QUEENS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,1,0.0
2536,LAGUARDIA LANDING LIGHTS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2537,CITY ISLAND WETLANDS,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2538,SARA D. ROOSEVELT PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,3.0,4.0,0.0,1.0,0.0,8,1,0.0
2539,EWEN PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
2540,HERBERT VON KING PARK,BROOKLYN,3,ONE ACRE OR LARGER,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1.0
2541,MOUNT PROSPECT PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2542,RAINEY PARK BRONX,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2543,DETECTIVE KEITH L WILLIAMS PARK,QUEENS,3,ONE ACRE OR LARGER,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0
2544,FLUSHING FIELDS,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
2545,PALMER INLET,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2546,MIDLAND FIELD,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2547,SCHMUL PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2548,BRIDGE PARK BRONX,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2549,BEACH 30TH STREET PLAYGROUND,QUEENS,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2550,BROWER PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3,1,0.0
2551,JOYCE KILMER PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,5.0,2.0,0.0,0.0,0.0,7,1,0.0
2552,MARIA HERNANDEZ PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3,1,0.0
2553,THE HIGH LINE,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2554,FRIENDS FIELD,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2555,LINDOWER PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2556,J. HOOD WRIGHT PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,0.0
2557,WNYC TRANSMITTER PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
2558,SPUYTEN DUYVIL SHOREFRONT PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2559,PARK AVENUE MALLS,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2560,WESTWOOD PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2561,UNION SQUARE PARK,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,4.0,4.0,0.0,9.0,0.0,17,1,0.0
2562,CONCRETE PLANT PARK,BRONX,3,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
2563,COL. YOUNG PLAYGROUND,MANHATTAN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2564,BRADYS POND PARK,STATEN ISLAND,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2565,COOPER PARK,BROOKLYN,3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0.0
