,PARK,BOROUGH,QUARTER,CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,CRIME OCCURED,VICIOUS CRIMES
68,BROOKVILLE PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
69,ISLE OF MEADOWS,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
70,CALVERT VAUX PARK,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
71,PUGSLEY CREEK PARK,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
72,SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
73,MOSHOLU PARKWAY,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
74,MCGUIRE FIELDS,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
75,FRESH CREEK NATURE PRESERVE,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
76,JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
77,FORT TRYON PARK,MANHATTAN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
78,RIVERSIDE PARK SOUTH,MANHATTAN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
79,EASTERN PARKWAY,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
80,FOUR SPARROW MARSH,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
81,FORT TOTTEN PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
82,ASTORIA PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
